ID,Data (Sensor),Concelho,Freguesia,Latitude,Longitude,Altitude,Geologia,Visualizacao,DescriçãoDGPC,QualidadedaImagem,Dimensao,AlturaAtual,AlturaEstimadaNoPassado,Forma,Esteios,Conservacao,Chapeu,Corredor,Mamoa,TipoRocha,AfloramentoRochoso,Relevo,LinhaAgua,VegetacaoTipo,COS2015,COS2015DefinicaoLevel5,ProximidadesCOS
Marmeleira 1,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Marmeleira 2,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Marmeleira 3,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Marmeleira 4,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Monte da Caeira 1,8/5/2017,Arraiolos,Vimieiro,38.875754,-7.95013,n/a,YR,Yes,No,Good,2.5,n/a,n/a,Polygonal,7,Good,Yes,n/a,n/a,n/a,Yes,No,No,Densa,SAF,SA,SAF/SA
Monte da Caeira 2,8/5/2017,Arraiolos,Vimieiro,38.882462,-7.948376,n/a,YR,No,No,Good,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,SAF,SA,PAP
Monte da Caeira 3,9/1/2013,Arraiolos,Vimieiro,38.884273,-7.952657,n/a,YR,Yes,No,Good,2.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Rasteira,PAP,PAP,SAF/SA
Monte da Caeira 4,8/5/2017,Arraiolos,Vimieiro,38.884273,-7.952657,n/a,YR,No,No,Good,n/a,n/a,n/a,n/a,n/a,Good,Yes,n/a,n/a,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Monte da Caeira 5,8/5/2017,Arraiolos,Vimieiro,38.883429,-7.951943,n/a,YR,Yes,No,Good,2.5,n/a,n/a,Poligonal,7,Good,Yes,n/a,n/a,n/a,No,Yes,No,Densa,SAF,SA,SAF/SA
Monte da Caeira 6,8/5/2017,Arraiolos,Vimieiro,38.888698,-7.949702,n/a,YZ,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Muito Densa,H2O,CAN,SAF/SA
Monte da Caeira 7,8/5/2017,Arraiolos,Vimieiro,38.887194,-7.95445,n/a,YZ,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Rasteira,PSP,PSP,SAF/SA
Monte da Caeira 8,8/5/2017,Arraiolos,Vimieiro,38.886964,-7.956751,n/a,YZ,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,Densa,SAF,SA,PAP
Olival,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Prates 4,8/5/2017,Arraiolos,Vimieiro,38.862712,-7.966268,165,YR,No,Yes,Good,2.15,n/a,n/a,Poligonal,7,Good,Tombado,Yes,n/a,n/a,Yes,No,No,Rasteira,SAF,SA,SAF/SA
Preta,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Ribeira da Fargela,8/5/2017,Arraiolos,Vimieiro,38.847719,-7.790546,0,S1,No,Yes,Good,n/a,n/a,1.2,n/a,n/a,Bad,n/a,n/a,Yes,Xisto,No,Yes,Yes,Densa,SAF,SA,SAF/SA
Serva,8/5/2017,Arraiolos,Vimieiro,38.886097,-7.864576,n/a,S1,No,No,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Santo Espírito 1,8/5/2017,Arraiolos,Vimieiro,38.868472,-7.861476,n/a,Y,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Muito Densa,SAF,SA,SAF/SA
Santo Espírito 2,8/5/2017,Arraiolos,Vimieiro,38.869377,-7.862097,n/a,Y,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No,Muito Densa,SAF,SA,SAF/SA
Soeiros 1,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Soeiros 2,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tourega 1,8/5/2017,Arraiolos,Vimieiro,38.878496,-7.877842,0,J,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Zona de Plantação,SAF,CTSR,SAF/SA
Tourega 2,8/5/2017,Arraiolos,Vimieiro,38.878489,-7.874673,200,YZ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Densa,SAF,SA,SAF/CTSR
Tourego 1,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tourisios,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Vale de Moura,8/5/2017,Arraiolos,Vimieiro,38.897651,-7.883825,0,S1,No,Yes,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Muito Densa,SAF,SAFF,PAP
Vale de Mouro,n/a,Arraiolos,Vimieiro,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Anta 6 de Santa Cruz,4/2/2015,Mora,Brotas,38.852245,-8.148166,0,YR,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruído,n/a,n/a,n/a,n/a,No,No,No,Densa,SAF,OLI,SAF/SA
Anta do Carvalho,4/2/2015,Mora,Brotas,38.832284,-8.128941,183,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,5,n/a,Yes,Yes,Vestígio,n/a,Yes,No,Yes,Muito Densa,SAF,SA,SAF/SA
Aviz,4/2/2015,Mora,Brotas,38.859062,-8.080137,239,YR,No,Yes,-,n/a,n/a,n/a,n/a,n/a,Não Localizado,n/a,n/a,n/a,n/a,Yes,No,Yes,Agua,SAF,SS,SAF/SA
Barros de Grou 1,4/2/2015,Mora,Brotas,38.842966,-8.115598,169,YR,Yes,Yes,Good,2.5,n/a,n/a,Polygonal,8,Good,Yes,Yes,Yes,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Besteiros,5/25/2013,Mora,Brotas,38.819322,-8.14231,0,YR,Yes,Yes,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Rasteira,SAF,SA,PAP
Besteiros 1,5/25/2013,Mora,Brotas,38.825266,-8.14611,182,YR,Yes,Yes,Good,2.6,n/a,n/a,Polygonal,7,Good,Yes,Yes,Vestígio,n/a,Yes,No,No,Densa,SAF,SA,SAF/SA
Besteiros 10,4/12/2015,Mora,Brotas,38.826797,-8.149796,180,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Rasteira,SAF,SA,SAF/SA
Besteiros 11,4/12/2015,Mora,Brotas,38.819322,-8.139776,180,YR,Yes,Yes,Good,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,Vestígio,n/a,Yes,Yes,Yes,Rasteira,SAF,SA,SAF/SA
Besteiros 2,4/12/2015,Mora,Brotas,38.826887,-8.149911,182,YR,No,Yes,Good,n/a,n/a,n/a,Retangular,n/a,Bad,n/a,n/a,Vestígio,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Besteiros 3,4/12/2015,Mora,Brotas,38.81761,-8.134365,182,YR,No,Yes,Good,2,n/a,n/a,n/a,4,n/a,Partido,Yes,Vestígio,n/a,Yes,Yes,Yes,Rasteira,SAF,SA,SAF/SA
Besteiros 9,4/12/2015,Mora,Brotas,38.828689,-8.150833,183,YR,No,Yes,Good,n/a,n/a,n/a,n/a,2,n/a,Yes,n/a,Vestígio,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Brissos 1,5/25/2013,Mora,Brotas,38.869761,-8.097955,134,YR,Yes,Yes,Good,2.7,n/a,n/a,Polygonal,7,Bad,Yes,Yes,Vestígio,n/a,Yes,No,Yes,Densa,FMN,FA,FMN/FA
Brissos 2,5/25/2013,Mora,Brotas,38.870841,-8.096226,146,YR,Yes,Yes,Good,n/a,n/a,n/a,n/a,2,Bad,Deslocado,n/a,n/a,n/a,Yes,Yes,Yes,Rasteira,FMN,FA,FMN/FA
Brissos 3,5/25/2013,Mora,Brotas,38.871563,-8.097954,180,YR,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruido,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Rasteira,FMN,FA,FMN/FA
Brissos 4,5/25/2013,Mora,Brotas,38.867961,-8.10314,100,YR,No,Yes,Good,2.0,n/a,n/a,Polygonal,7,Bad,Yes,Yes,n/a,n/a,Yes,Yes,Yes,Densa,FMN,FA,FMN/FA
Brissos 5,5/25/2013,Mora,Brotas,38.867328,-8.093923,133,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,2,Bad,n/a,Yes,n/a,n/a,Yes,Yes,No,Muito Densa,FMN,FA,FMN/M
Brissos 6,5/25/2013,Mora,Brotas,38.866156,-8.092195,140,YR,No,Yes,Bad,2.3,n/a,n/a,Polygonal,n/a,Bad,Partido,Yes,n/a,n/a,Yes,Yes,Yes,Muito Densa,FMN,M,FMN/FA
Brissos 7,5/25/2013,Mora,Brotas,38.874714,-8.093573,140,YR,Yes,Yes,Good,1.9,n/a,n/a,Quadrangular,7,n/a,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Densa,FMN,FA,FMN/FA
Brotas,n/a,Mora,Brotas,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Não Localizado,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Cabeceira 1,5/25/2013,Mora,Brotas,38.855533,-8.12538,157,YR,Yes,Yes,Good,2.0,n/a,n/a,n/a,7,n/a,Yes,Yes,Vestígio,n/a,Yes,No,No,Rasteira,SAF,SA,PAP
Cabeceira 2,5/25/2013,Mora,Brotas,38.854606,-8.126831,0,YR,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,No,Yes,Yes,Rasteira,SAF,SA,PAP
Cabeceira 3,5/25/2013,Mora,Brotas,38.8542,-8.125495,0,YR,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruido,n/a,n/a,n/a,n/a,Yes,No,No,Densa,SAF,SA,PAP
Cabeceira 4,5/25/2013,Mora,Brotas,38.853741,-8.128225,0,YR,No,Yes,Good,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,Vestígio,n/a,Yes,No,No,Densa,SAF,SS,SAF/SA
Cabeceira 5,5/25/2013,Mora,Brotas,38.8522,-8.119735,150,YR,No,Yes,Good,n/a,n/a,n/a,n/a,7,n/a,Yes,Yes,Yes,n/a,Yes,No,Yes,Densa,SAF,SA,SAF/SA
Cabeceira 6,4/2/2015,Mora,Brotas,38.852926,-8.117496,n/a,YR,Yes,No,Good,n/a,n/a,n/a,n/a,3,Destruído,n/a,n/a,n/a,n/a,Yes,No,Yes,Densa,SAF,SS,SAF/SS
Carvalho 3,4/2/2015,Mora,Brotas,38.833951,-8.130058,183,YR,No,Yes,Good,n/a,n/a,n/a,n/a,5,Bad,n/a,n/a,Vestígio,n/a,Yes,No,Yes,Densa,SAF,SA,SAF/SA
Courela do Moinho,4/2/2015,Mora,Brotas,38.851062,-8.078772,0,QQ,No,Yes,Bad,n/a,n/a,n/a,n/a,6,n/a,Tombado,Yes,Vestígio,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Monte da Figueirinha 3,4/2/2015,Mora,Brotas,38.945979,-7.984946,n/a,S1,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,CTSR,SAF/CTSR
Herdade do Pequito Velho 1,4/2/2015,Mora,Brotas,38.948792,-7.970368,n/a,Q4,No,No,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Densa,PAP,PAP,PAP
Herdade do Pequito Velho 2,4/2/2015,Mora,Brotas,38.947329,-7.970042,n/a,S1,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Densa,PAP,PAP,PAP
Mamoa do Monte da Courela,4/2/2015,Mora,Brotas,38.855157,-8.089874,0,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Yes,No,Yes,Muito Densa,SAF,SAFF,SAF/SA
Monte das Figueiras 1,4/2/2015,Mora,Brotas,38.87508,-8.116966,90,QQ,No,Yes,Good,2.0,n/a,n/a,n/a,7,Bad,n/a,Yes,Vestígio,n/a,Yes,No,Yes,Zona de Plantação,SAF,CTRS,SAF/CTSR
Monte das Figueiras 2,4/2/2015,Mora,Brotas,38.876881,-8.118233,90,QQ,No,Yes,Good,n/a,n/a,n/a,Polygonal,2,Bad,n/a,n/a,Vestígio,n/a,Yes,No,Yes,Zona de Plantação,SAF,CTRS,SAF/CTSR
Monte das Figueiras 3,4/2/2015,Mora,Brotas,38.877242,-8.118233,90,QQ,No,Yes,Good,3.0,n/a,n/a,n/a,0,Destruído,n/a,n/a,n/a,n/a,Yes,No,Yes,Zona de Plantação,SAF,CTRS,SAF/SA
Monte das Águias,4/2/2015,Mora,Brotas,38.875621,-8.126184,0,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Densa,PAP,PAP,SAF/CTRS
Olheiros 1,n/a,Mora,Brotas,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Olheiros 2,n/a,Mora,Brotas,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Placas,n/a,Mora,Brotas,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Porto de Aviz de Baixo,5/25/2013,Mora,Brotas,38.857318,-8.079826,n/a,YR,Yes,No,Good,2.5,n/a,n/a,Polygonal,4,Bad,Yes,Yes,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SS,SAF/SA
Santa Cruz 1,5/25/2013,Mora,Brotas,38.85184,-8.137706,170,YR,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Santa Cruz 2,5/25/2013,Mora,Brotas,38.851173,-8.146991,0,YR,Yes,Yes,Good,3.5,n/a,n/a,Circular,7,Good,No,No,n/a,Granito,No,Yes,No,Densa,SAF,SA,SAF/SA
Santa Cruz 3,5/25/2013,Mora,Brotas,38.851696,-8.138213,0,YR,No,Yes,Bad,n/a,n/a,n/a,Trapeizodal,5,n/a,n/a,No,Yes,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Torre das Águias 1,5/25/2013,Mora,Brotas,38.872918,-8.115468,89,QQ,No,Yes,Bad,2.3,n/a,n/a,Polygonal,7,n/a,No,Yes,n/a,n/a,Yes,No,No,Zona de Plantação,SAF,CTSR,SAF/SA - SMN/FOF
Torre das Águias 2,5/25/2013,Mora,Brotas,38.874089,-8.115237,89,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Destruído,n/a,n/a,n/a,n/a,Yes,No,Yes,Zona de Plantação,SAF,CTSR,FMN\FOF
Torre das Águias 3,5/25/2013,Mora,Brotas,38.872017,-8.115007,89,QQ,No,Yes,Bad,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,CTSR,SAF/SA - SMN/FOF
Anta dos Pardais 4,5/25/2013,Mora,Cabeção,38.942085,-8.034769,95,QQ,Yes,Yes,Good,n/a,n/a,n/a,Polygonal,7,Bad,No,n/a,n/a,n/a,No,No,Yes,Zona de Plantação,PAP,PAP,PAP
Barros de Grou 2,5/25/2013,Mora,Cabeção,38.839701,-8.115043,0,YR,No,Yes,Good,1.9,n/a,n/a,n/a,5,n,n/a,Yes,Vestígio,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Moita 1,5/25/2013,Mora,Cabeção,38.962823,-8.109678,0,Q1,No,Yes,Good,3.5,n/a,n/a,Polygonal,n/a,Good,n/a,Yes,n/a,Granito,Yes,No,Yes,Zona de Plantação,SAF,CTSR,SAF/CTSR
Moita 2,5/25/2013,Mora,Cabeção,38.962481,-8.109632,0,Q1,No,Yes,Good,3.5,n/a,n/a,Retangular,9,Good,n/a,n/a,n/a,n/a,No,No,Yes,Zona de Plantação,SAF,CTSR,SAF/CTSR
Pardais 1,5/25/2013,Mora,Cabeção,38.942785,-8.043131,85,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,3,Bad,n/a,n/a,n/a,Granito,No,No,Yes,Zona de Plantação,SAF,SS,SAF/SA
Pardais 2,5/25/2013,Mora,Cabeção,38.945844,-8.038398,113,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,n/a,n/a,No,Yes,No,Zona de Plantação,PAP,PAP,PAP
Pardais 3,5/25/2013,Mora,Cabeção,38.944939,-8.032747,100,QQ,Yes,Yes,Good,2.5,n/a,n/a,Ferradura,3,Bad,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Zona de Plantação,SAF,CTSR,SAF/CTSR
Anta dos Píncaros,5/25/2013,Mora,Mora,38.992185,-8.191331,0,YMM,No,Yes,Good,n/a,n/a,n/a,n/a,3,n/a,Tombado,n/a,n/a,Granito,No,Yes,No,Muito Densa,SAF,SS,SAF/SS
Adua 1,8/5/2017,Mora,Pavia,38.904915,-8.025886,180,PCG,Yes,Yes,Good,3.1,2.0,n/a,Polygonal,7,Good,Partido,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Adua 2,8/5/2017,Mora,Pavia,38.908996,-8.030837,170,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Adua 3,8/5/2017,Mora,Pavia,38.910437,-8.030259,150,YZZ,No,Yes,Bad,1.6,n/a,n/a,Circular,8,Good,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Adua 4,8/5/2017,Mora,Pavia,38.912329,-8.031409,140,YZZ,Yes,Yes,Bad,1.6,n/a,n/a,Circular,6,Good,Yes,Yes,Vestígio,Granito,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Adua 5,8/5/2017,Mora,Pavia,38.906832,-8.028073,170,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,2,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Adua 6,9/1/2013,Mora,Pavia,38.903419,-8.040875,161,YR,Yes,Yes,Bad,n/a,n/a,n/a,Circular,2,Bad,Partido,Yes,n/a,n/a,Yes,Yes,Yes,Densa,SAF,OLI,SAF/SA-PAP
Adua 7,8/5/2017,Mora,Pavia,38.906805,-8.039487,165,YR,No,Yes,Bad,n/a,n/a,n/a,Ferradura,3,Bad,n/a,n/a,Yes,Quartzo,Yes,Yes,Yes,Densa,PAP,PAP,SAF/SA
Alcarou de Baixo 1,4/2/2015,Mora,Pavia,38.841011,-8.050388,0,YR,Yes,Yes,Bad,1.7,n/a,n/a,n/a,7,Good,Yes,Yes,Yes,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,FMN/FA
Alcarou de Baixo 2,4/2/2015,Mora,Pavia,38.840255,-8.050757,0,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,7,Good,Partido,Yes,Yes,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,FMN/FA
Alcarou de Baixo 3,4/2/2015,Mora,Pavia,38.841444,-8.050756,0,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,FMN/FA
Alcarou de Baixo 4,4/2/2015,Mora,Pavia,38.840073,-8.050724,0,YR,No,No,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,FMN,FA,SAF/SA
Alcarou de Baixo 5,4/2/2015,Mora,Pavia,38.826447,-8.025171,0,YR,No,No,Bad,n/a,n/a,n/a,n/a,7,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Anta de Pavia/Capela de São Dinis,4/2/2015,Mora,Pavia,38.894013,-8.017499,190,YR,Yes,Yes,Good,4.0,3.3,3.3,Polygonal,7,Good,Yes,Yes,No,Granito,No,No,No,Zona Urbana,TA,TUC,TA/TUC
Antões 1,4/2/2015,Mora,Pavia,38.909335,-8.009162,160,YZZ,Yes,Yes,Bad,2.5,n/a,3.0,Polygonal,6,Bad,Partido,Yes,n/a,n/a,No,No,Yes,Densa,SAF,SA,SAF/SA
Antões 2,4/2/2015,Mora,Pavia,38.908885,-8.009163,160,YZZ,No,Yes,Bad,2,2.5,n/a,Oblonga,6,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Densa,SAF,SA,SAF/SA
Antões 3,4/2/2015,Mora,Pavia,38.928966,-8.003362,120,YZZ,Yes,Yes,Good,3.0,n/a,n/a,Trapeizodal,7,Good,Yes,n/a,Vestígio,n/a,No,Yes,Yes,Rateira,FMN,FA,SAF/FA/CTRS/
Antões 4,4/2/2015,Mora,Pavia,38.912765,-8.016074,180,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,7,Bad,n/a,n/a,n/a,n/a,No,Yes,Yes,Densa,SAF,SA,SAF/SA
Antões 5,4/2/2015,Mora,Pavia,38.909159,-8.012391,180,YZZ,No,Yes,Bad,2.0,n/a,n/a,Trapeizodal,6,Bad,n/a,n/a,n/a,n/a,No,Yes,Yes,Densa,SAF,SA,SAF/SA
Antões 6,4/2/2015,Mora,Pavia,38.906455,-8.010896,180,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,5,Bad,n/a,n/a,n/a,n/a,No,Yes,Yes,Densa,SAF,SA,SAF/SA
Barroca 3,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,2.2,n/a,n/a,Polygonal,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Casa Branca 1,4/2/2015,Mora,Pavia,38.911343,-8.036598,0,YZZ,Yes,Yes,Good,1.6,n/a,n/a,Circular,7,n/a,n/a,n/a,Vestígio,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Casa Branca 2,4/2/2015,Mora,Pavia,38.913244,-8.048356,0,YZZ,Yes,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,Vestígio,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Casa Branca 3,4/2/2015,Mora,Pavia,38.918388,-8.063455,0,YZZ,Yes,Yes,Bad,3.0,1.3,n/a,n/a,10,n/a,Partido,n/a,n/a,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Casa Branca 4,4/2/2015,Mora,Pavia,38.908477,-8.060352,153,YR,No,Yes,Bad,1.8,n/a,n/a,n/a,2,Bad,n/a,n/a,Vestígio,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Casa Branca 5,4/2/2015,Mora,Pavia,38.926949,-8.069789,149,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,4,n/a,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Densa,FMN,FA,SAF/SA
Casas Velhas 1,9/1/2013,Mora,Pavia,38.863783,-7.959468,163,YR,Yes,Yes,Good,n/a,n/a,n/a,Polygonal,7,Bad,Tombado,Yes,n/a,n/a,Yes,Yes,Yes,Densa,PAP,PAP,SAF/SA
Condes 1,9/1/2013,Mora,Pavia,38.905858,-7.936531,n/a,YZZ,No,No,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No,Muito Densa,FMN,FA,SAF/SA
Condes 2,9/1/2013,Mora,Pavia,38.907211,-7.937681,n/a,YZZ,No,No,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,Yes,Muito Densa,FMN,FA,SAF/SA
Considreiro 1,9/1/2013,Mora,Pavia,38.939208,-8.088002,100,YZZ,No,Yes,Bad,2.6,n/a,n/a,Polygonal,8,Bad,No,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,SAF/SA
Covatos,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Cré 1,9/1/2013,Mora,Pavia,38.86434,-7.970988,173,YR,Yes,Yes,Good,2.1,n/a,n/a,n/a,8,Good,Yes,Yes,n/a,n/a,No,No,Yes,Rasteira,SAF,SA,SAF/SA
Cré 2,9/1/2013,Mora,Pavia,38.864613,-7.972946,159,YR,No,Yes,Good,2.1,n/a,n/a,Polygonal,7,n/a,n/a,Yes,n/a,n/a,Yes,Yes,No,Densa,SAF,SA,SAF/SA
Cré 3,9/1/2013,Mora,Pavia,38.868314,-7.978929,164,YR,No,Yes,Good,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,Vestígio,n/a,No,No,No,Pasto,SAF,CTSR,TA/ICE
Entreáguas 1,4/2/2015,Mora,Pavia,38.937381,-8.043714,100,Q3,No,Yes,Bad,3.5,n/a,n/a,Polygonal,5,Bad,Tombado,n/a,n/a,n/a,Yes,No,Yes,Muito Densa,PAP,PAP,PAP
